,Time,Topics,pos/neu/neg
88,2021-12-01 16:31:40+00:00,news,negative
89,2021-12-01 16:31:33+00:00,anti vaccine,negative
90,2021-12-01 16:30:16+00:00,news,positive
91,2021-12-01 16:30:05+00:00,news,negative
92,2021-12-01 16:30:04+00:00,news,negative
94,2021-12-01 16:30:03+00:00,vaccine effects,neutral
95,2021-12-01 16:29:51+00:00,news,negative
96,2021-12-01 16:29:45+00:00,news,negative
97,2021-12-01 16:29:20+00:00,news,neutral
98,2021-12-01 16:29:17+00:00,news,neutral
99,2021-12-01 16:29:12+00:00,news,negative
100,2021-12-01 16:29:11+00:00,joke,negative
101,2021-12-01 16:28:46+00:00,news,neutral
102,2021-12-01 16:28:34+00:00,news,negative
103,2021-12-01 16:28:03+00:00,news,neutral
104,2021-12-01 16:27:48+00:00,news,neutral
105,2021-12-01 16:27:28+00:00,news,neutral
106,2021-12-01 16:27:25+00:00,news,neutral
107,2021-12-01 16:26:06+00:00,news,neutral
109,2021-12-01 16:25:58+00:00,news,neutral
110,2021-12-01 16:24:58+00:00,news,negative
111,2021-12-01 16:24:28+00:00,joke,negative
112,2021-12-01 16:24:23+00:00,vaccine effects,negative
113,2021-12-01 16:23:47+00:00,news,neutral
114,2021-12-01 16:23:34+00:00,news,neutral
115,2021-12-01 16:23:11+00:00,news,neutral
116,2021-12-01 16:22:54+00:00,news,negative
117,2021-12-01 16:22:42+00:00,pandemic effects,negative
118,2021-12-01 16:22:17+00:00,vaccine effects,negative
119,2021-12-01 16:22:03+00:00,pro vax,positive
120,2021-12-01 16:21:51+00:00,joke,negative
121,2021-12-01 16:21:50+00:00,news,positive
122,2021-12-01 16:21:32+00:00,news,neutral
123,2021-12-01 16:21:20+00:00,vaccine effects,neutral
126,2021-12-01 16:21:00+00:00,news,neutral
127,2021-12-01 16:20:59+00:00,news,neutral
128,2021-12-01 16:20:46+00:00,news,neutral
129,2021-12-01 16:20:28+00:00,news,neutral
130,2021-12-01 16:20:18+00:00,anti vaccine,negative
131,2021-12-01 16:20:18+00:00,news,neutral
132,2021-12-01 16:20:15+00:00,news,positive
133,2021-12-01 16:20:13+00:00,news,neutral
134,2021-12-01 16:20:11+00:00,vaccine effects,negative
135,2021-12-01 16:20:00+00:00,news,positive
136,2021-12-01 16:19:47+00:00,news,neutral
137,2021-12-01 16:19:46+00:00,news,neutral
138,2021-12-01 16:19:26+00:00,pandemic effects,negative
139,2021-12-01 16:18:26+00:00,vaccine effects,negative
140,2021-12-01 16:18:19+00:00,news,negative
141,2021-12-01 16:18:14+00:00,joke,neutral
142,2021-12-01 16:17:58+00:00,news,neutral
143,2021-12-01 16:17:35+00:00,news,neutral
144,2021-12-01 16:16:50+00:00,pro vax,positive
145,2021-12-01 16:16:35+00:00,pro vax,positive
146,2021-12-01 16:16:12+00:00,news,neutral
147,2021-12-01 16:16:11+00:00,news,neutral
148,2021-12-01 16:16:10+00:00,news,positive
149,2021-12-01 16:16:08+00:00,news,neutral
150,2021-12-01 16:16:07+00:00,news,neutral
151,2021-12-01 16:16:04+00:00,vaccine effects,neutral
152,2021-12-01 16:16:02+00:00,news,negative
153,2021-12-01 16:15:35+00:00,news,positive
154,2021-12-01 16:15:15+00:00,news,neutral
155,2021-12-01 16:15:03+00:00,news,positive
156,2021-12-01 16:14:55+00:00,news,neutral
157,2021-12-01 16:14:38+00:00,news,neutral
158,2021-12-01 16:14:26+00:00,vaccine effects,positive
159,2021-12-01 16:14:16+00:00,anti vaccine,negative
160,2021-12-01 16:14:08+00:00,vaccine effects,negative
161,2021-12-01 16:14:00+00:00,vaccine effects,positive
162,2021-12-01 16:13:51+00:00,pro vax,positive
164,2021-12-01 16:12:28+00:00,news,positive
